
Symbol table '.dynsym' contains 2746 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   124: 0004ff40     0 FUNC    WEAK   DEFAULT    8 _ksem_wait
   125: 00068bd0   242 FUNC    GLOBAL DEFAULT    8 clnt_broadcast
   126: 000467e0    44 FUNC    WEAK   DEFAULT    8 pause
   127: 000c8e08     0 FUNC    WEAK   DEFAULT    8 ioctl
   128: 000c79d0    41 FUNC    WEAK   DEFAULT    8 pthread_cond_signal
   129: 000b1e80     0 FUNC    WEAK   DEFAULT    8 writev
   130: 00044150   137 FUNC    GLOBAL DEFAULT    8 siginterrupt
   131: 000a2b70    22 FUNC    WEAK   DEFAULT    8 dlerror
   132: 00050ea0     0 FUNC    GLOBAL DEFAULT    8 __sys_nfssvc
   133: 000a93f0   468 FUNC    GLOBAL DEFAULT    8 __emulated_sgetrune
   134: 0004fd60     0 FUNC    WEAK   DEFAULT    8 _swapoff
   135: 00027b50   125 FUNC    GLOBAL DEFAULT    8 vscanf
   136: 00062f30   232 FUNC    GLOBAL DEFAULT    8 yperr_string
   137: 00096c20   611 FUNC    GLOBAL DEFAULT    8 getservent
   138: 0008fdc0   177 FUNC    GLOBAL DEFAULT    8 if_indextoname
   139: 000264a0     8 FUNC    GLOBAL DEFAULT    8 _time32_to_time
   140: 00063fa0   113 FUNC    GLOBAL DEFAULT    8 xdr_ypresp_key_val
   141: 0001e9b0   541 FUNC    GLOBAL DEFAULT    8 strmode
   142: 0004fd40     0 FUNC    WEAK   DEFAULT    8 ___acl_get_link
   143: 0008a340   145 FUNC    WEAK   DEFAULT    8 strtok_r
   144: 00050640     0 FUNC    WEAK   DEFAULT    8 munlockall
   145: 00050960     0 FUNC    WEAK   DEFAULT    8 nfstat
   146: 00050ca0     0 FUNC    WEAK   DEFAULT    8 undelete
   147: 000441e0    80 FUNC    GLOBAL DEFAULT    8 setprogname
   148: 00050280     0 FUNC    WEAK   DEFAULT    8 _extattr_delete_fd
   149: 00051300     0 FUNC    GLOBAL DEFAULT    8 __sys_sync
   150: 0004fe40     0 FUNC    WEAK   DEFAULT    8 ___mac_get_link
   151: 000a2c10    43 FUNC    WEAK   DEFAULT    8 dlinfo
   152: 000a5fa0   235 FUNC    GLOBAL DEFAULT    8 __res_hnok
   153: 000dd180     4 OBJECT  GLOBAL DEFAULT   18 authnone_lock
   154: 0005f7dc     0 FUNC    WEAK   DEFAULT    8 getgid
   155: 000aabc0    38 FUNC    GLOBAL DEFAULT    8 __get_current_me[...]
   156: 0001dd50   162 FUNC    GLOBAL DEFAULT    8 wcstok
   157: 0004fe20     0 FUNC    WEAK   DEFAULT    8 ___mac_set_link
   158: 000df848     4 OBJECT  GLOBAL DEFAULT   18 ___getservbyport_yp
   159: 0004a060   186 FUNC    GLOBAL DEFAULT    8 getloadavg
   160: 0004fda0     0 FUNC    WEAK   DEFAULT    8 __mac_execve
   161: 00046370   797 FUNC    GLOBAL DEFAULT    8 popen
   162: 000b7ddc     0 FUNC    GLOBAL DEFAULT    8 __sys_fcntl
   163: 000a5a90    54 FUNC    GLOBAL DEFAULT    8 printf
   164: 00043480  1870 FUNC    GLOBAL DEFAULT    8 sysconf
   165: 0003a630  1339 FUNC    GLOBAL DEFAULT    8 __ivaliduser_sa
   166: 000ca03c    16 OBJECT  GLOBAL DEFAULT   10 in6addr_nodeloca[...]
   167: 00063b14     0 FUNC    WEAK   DEFAULT    8 _dup
   168: 00050c40     0 FUNC    WEAK   DEFAULT    8 ___semctl
   169: 000257c0    68 FUNC    GLOBAL DEFAULT    8 xdr_rpcbs_rmtcal[...]
   170: 000a784c     0 FUNC    GLOBAL DEFAULT    8 __sys_access
   171: 000247c0    33 FUNC    GLOBAL DEFAULT    8 uuid_hash
   172: 00027a90   185 FUNC    GLOBAL DEFAULT    8 vsprintf
   173: 0004fc60     0 FUNC    WEAK   DEFAULT    8 thr_kill
   174: 000aa5c0   164 FUNC    GLOBAL DEFAULT    8 _none_mbsnrtowcs
   175: 000455a0    86 FUNC    GLOBAL DEFAULT    8 __sem_wait
   176: 00020ca0   219 FUNC    GLOBAL DEFAULT    8 random
   177: 000c5500    49 FUNC    GLOBAL DEFAULT    8 __i2b_D2A
   178: 00073950    78 FUNC    GLOBAL DEFAULT    8 clnt_create_vers
   179: 0009dcb0    87 FUNC    GLOBAL DEFAULT    8 _nsyyerror
   180: 0004c520   202 FUNC    GLOBAL DEFAULT    8 setfsent
   181: 000eb7f8     4 OBJECT  GLOBAL DEFAULT   18 ypresp_data
   182: 00042480    79 FUNC    GLOBAL DEFAULT    8 utime
   183: 0005b780   942 FUNC    GLOBAL DEFAULT    8 wcstof
   184: 000509a0     0 FUNC    WEAK   DEFAULT    8 _netbsd_msync
   185: 000c8438     0 FUNC    WEAK   DEFAULT    8 getdtablesize
   186: 000c8aa0    11 FUNC    GLOBAL DEFAULT    8 cfgetospeed
   187: 00073410    58 FUNC    GLOBAL DEFAULT    8 xdr_netnamestr
   188: 00050ea0     0 FUNC    WEAK   DEFAULT    8 nfssvc
   189: 00051280     0 FUNC    WEAK   DEFAULT    8 _acct
   190: 00052d70   763 FUNC    GLOBAL DEFAULT    8 vswprintf
   191: 0009f390    50 FUNC    GLOBAL DEFAULT    8 sethostent
   192: 000c8550    60 FUNC    GLOBAL DEFAULT    8 __sseek
   193: 00051000     0 FUNC    GLOBAL DEFAULT    8 __sys_fchmod
   194: 000c6f30   160 FUNC    GLOBAL DEFAULT    8 __sinit
   195: 00096b70    95 FUNC    GLOBAL DEFAULT    8 setservent
   196: 00050820     0 FUNC    GLOBAL DEFAULT    8 __sys_kldfind
   197: 000dd1a0     4 OBJECT  GLOBAL DEFAULT   18 loopnconf_lock
   198: 0003a4c0    99 FUNC    GLOBAL DEFAULT    8 __ivaliduser
   199: 000510c0     0 FUNC    GLOBAL DEFAULT    8 __sys_getitimer
   200: 0004fcc0     0 FUNC    GLOBAL DEFAULT    8 __sys_thr_create
   201: 0007f55c     0 FUNC    WEAK   DEFAULT    8 _recvmsg
   202: 000ac760    91 FUNC    GLOBAL DEFAULT    8 __time_load_locale
   203: 00049f60    96 FUNC    GLOBAL DEFAULT    8 getlogin
   204: 00027e20    86 FUNC    GLOBAL DEFAULT    8 putc_unlocked
   205: 000341e0   330 FUNC    GLOBAL DEFAULT    8 mac_is_present
   206: 000c51a0   235 FUNC    GLOBAL DEFAULT    8 __Balloc_D2A
   207: 000d0360    64 OBJECT  GLOBAL DEFAULT   10 _nsyydefred
   208: 000512e0     0 FUNC    WEAK   DEFAULT    8 _getppid
   209: 000393c0    72 FUNC    GLOBAL DEFAULT    8 recv
   210: 000a5eb0    88 FUNC    GLOBAL DEFAULT    8 __dn_expand
   211: 000500c0     0 FUNC    WEAK   DEFAULT    8 ___mac_set_fd
   212: 000a2c7c     0 FUNC    WEAK   DEFAULT    8 connect
   213: 00080f10   253 FUNC    GLOBAL DEFAULT    8 __rpc_fd2sockinfo
   214: 00050c80     0 FUNC    WEAK   DEFAULT    8 _futimes
   215: 000c0e20   497 FUNC    GLOBAL DEFAULT    8 __bt_search
   216: 0005e088     0 FUNC    GLOBAL DEFAULT    8 __sys_wait4
   217: 000513e0     0 FUNC    GLOBAL DEFAULT    8 __sys_mknod
   218: 00083f00   132 FUNC    GLOBAL DEFAULT    8 ungetc
   219: 000513c0     0 FUNC    GLOBAL DEFAULT    8 __sys_chmod
   220: 00034de0    97 FUNC    GLOBAL DEFAULT    8 acl_get_file
   221: 0006e760   123 FUNC    GLOBAL DEFAULT    8 svcerr_auth
   222: 00079850   223 FUNC    GLOBAL DEFAULT    8 endnetgrent
   223: 0004fc00     0 FUNC    WEAK   DEFAULT    8 _jail_attach
   224: 00080e40   108 FUNC    GLOBAL DEFAULT    8 rpc_nullproc
   225: 000467e0    44 FUNC    WEAK   DEFAULT    8 _pause
   226: 00050de0     0 FUNC    WEAK   DEFAULT    8 shmsys
   227: 000502c0     0 FUNC    GLOBAL DEFAULT    8 __sys_extattr_set_fd
   228: 00033ef0   136 FUNC    GLOBAL DEFAULT    8 mac_from_text
   229: 000c2c20   240 FUNC    GLOBAL DEFAULT    8 __bt_cmp
   230: 00050900     0 FUNC    WEAK   DEFAULT    8 _fhstat
   231: 00051120     0 FUNC    WEAK   DEFAULT    8 _getpgrp
   232: 000c63f0    36 FUNC    GLOBAL DEFAULT    8 sigemptyset
   233: 000c8c00    51 FUNC    GLOBAL DEFAULT    8 __tcdrain
   234: 00080c10   475 FUNC    GLOBAL DEFAULT    8 __rpc_getconf
   235: 00050100     0 FUNC    GLOBAL DEFAULT    8 __sys___mac_get_fd
   236: 0006db90   466 FUNC    GLOBAL DEFAULT    8 __svc_clean_idle
   237: 00050b40     0 FUNC    WEAK   DEFAULT    8 _shmctl
   238: 00050f20     0 FUNC    WEAK   DEFAULT    8 utimes
   239: 000c7a90    41 FUNC    WEAK   DEFAULT    8 pthread_getspecific
   240: 000c8070    44 FUNC    WEAK   DEFAULT    8 pthread_rwlock_rdlock
   241: 000618f0  2125 FUNC    GLOBAL DEFAULT    8 _yp_dobind
   242: 00050b40     0 FUNC    WEAK   DEFAULT    8 shmctl
   243: 000a1490  1192 FUNC    GLOBAL DEFAULT    8 _dns_gethostbyname
   244: 000ac5c0   104 FUNC    GLOBAL DEFAULT    8 strerror
   245: 00050720     0 FUNC    GLOBAL DEFAULT    8 __sys_aio_suspend
   246: 0009c3d0   100 FUNC    GLOBAL DEFAULT    8 ___toupper
   247: 00063e50    93 FUNC    GLOBAL DEFAULT    8 xdr_ypreq_nokey
   248: 000a69f0   522 FUNC    GLOBAL DEFAULT    8 __ns_name_pack
   249: 00050d20     0 FUNC    WEAK   DEFAULT    8 fpathconf
   250: 000a8670   903 FUNC    GLOBAL DEFAULT    8 __wcsnrtombs_std
   251: 0009d740    96 FUNC    GLOBAL DEFAULT    8 _nsyyrestart
   252: 000eb9c0   744 OBJECT  GLOBAL DEFAULT   18 _res_ext
   253: 000dbac4     4 OBJECT  WEAK   DEFAULT   18 _thread_autoinit[...]
   254: 000251c0    97 FUNC    GLOBAL DEFAULT    8 svc_exit
   255: 0007c618     0 FUNC    WEAK   DEFAULT    8 geteuid
   256: 000ab0a0    27 FUNC    GLOBAL DEFAULT    8 _GB18030_mbsinit
   257: 000512c0     0 FUNC    GLOBAL DEFAULT    8 __sys_profil
   258: 000ba8e4     0 FUNC    WEAK   DEFAULT    8 _mkdir
   259: 0007e990  1309 FUNC    GLOBAL DEFAULT    8 __pw_scan
   260: 000a7070    89 FUNC    WEAK   DEFAULT    8 inet_pton
   261: 0004fbe0     0 FUNC    WEAK   DEFAULT    8 extattr_list_fd
   262: 00073d60    64 FUNC    GLOBAL DEFAULT    8 clnt_tp_create
   263: 0008a2c0   126 FUNC    WEAK   DEFAULT    8 _sleep
   264: 000511a0     0 FUNC    WEAK   DEFAULT    8 _vadvise
   265: 000b8690   102 FUNC    GLOBAL DEFAULT    8 arc4random_stir
   266: 00050860     0 FUNC    WEAK   DEFAULT    8 _kldload
   267: 000aa900   112 FUNC    GLOBAL DEFAULT    8 _MSKanji_wcrtomb
   268: 00050840     0 FUNC    WEAK   DEFAULT    8 _kldunload
   269: 000a1940   927 FUNC    GLOBAL DEFAULT    8 _dns_gethostbyaddr
   270: 00097c20    64 FUNC    GLOBAL DEFAULT    8 __p_section
   271: 00025810   161 FUNC    GLOBAL DEFAULT    8 xdr_rpcb_stat
   272: 00050f80     0 FUNC    GLOBAL DEFAULT    8 __sys_mkfifo
   273: 00040d70    52 FUNC    GLOBAL DEFAULT    8 fputrune
   274: 000b4810    85 FUNC    GLOBAL DEFAULT    8 __big_keydata
   275: 000d0400    64 OBJECT  GLOBAL DEFAULT   10 _nsyyrindex
   276: 00050240     0 FUNC    GLOBAL DEFAULT    8 __sys_nfsclnt
   277: 00071210   164 FUNC    GLOBAL DEFAULT    8 key_secretkey_is_set
   278: 00050300     0 FUNC    WEAK   DEFAULT    8 _getresuid
   279: 0004f960    70 FUNC    GLOBAL DEFAULT    8 dbm_firstkey
   280: 000aac70   288 FUNC    GLOBAL DEFAULT    8 _GBK_mbrtowc
   281: 0003f210    30 FUNC    GLOBAL DEFAULT    8 setinvalidrune
   282: 00097b60   113 FUNC    WEAK   DEFAULT    8 sym_ntop
   283: 0004f550    56 FUNC    GLOBAL DEFAULT    8 sigpause
   284: 00041430     0 FUNC    GLOBAL DEFAULT    8 __siglongjmp
   285: 00041ff0   877 FUNC    GLOBAL DEFAULT    8 vis
   286: 0003bab0   130 FUNC    GLOBAL DEFAULT    8 inet6_opt_finish
   287: 000c4710     0 FUNC    GLOBAL DEFAULT    8 memmove
   288: 0004fe00     0 FUNC    WEAK   DEFAULT    8 extattr_set_link
   289: 00022840   191 FUNC    GLOBAL DEFAULT    8 hsearch
   290: 000c7ff0    51 FUNC    WEAK   DEFAULT    8 pthread_rwlock_init
   291: 000c8ee4     0 FUNC    WEAK   DEFAULT    8 ___syscall
   292: 000eb7f4     4 OBJECT  GLOBAL DEFAULT   18 _malloc_options
   293: 0001e020    86 FUNC    GLOBAL DEFAULT    8 wcslcpy
   294: 000aae00    86 FUNC    GLOBAL DEFAULT    8 _GB2312_init
   295: 0004b020    14 FUNC    GLOBAL DEFAULT    8 fts_set_clientptr
   296: 000eb3c0     4 OBJECT  GLOBAL DEFAULT   18 __rcmd_errstr
   297: 00050700     0 FUNC    WEAK   DEFAULT    8 _aio_cancel
   298: 00036f20  5901 FUNC    GLOBAL DEFAULT    8 res_update
   299: 000c72d0    92 FUNC    GLOBAL DEFAULT    8 _funlockfile
   300: 000d6e88     4 OBJECT  GLOBAL DEFAULT   11 __stdinp
   301: 0003f310    60 FUNC    GLOBAL DEFAULT    8 __toupper
   302: 00080780    54 FUNC    GLOBAL DEFAULT    8 __rpc_get_t_size
   303: 00046690   264 FUNC    GLOBAL DEFAULT    8 pclose
   304: 00070c80   397 FUNC    GLOBAL DEFAULT    8 authdes_getucred
   305: 00023a90    55 FUNC    GLOBAL DEFAULT    8 getopt_long
   306: 000c6f00    38 FUNC    GLOBAL DEFAULT    8 _cleanup
   307: 0009de90    34 FUNC    GLOBAL DEFAULT    8 endnetent
   308: 00050c80     0 FUNC    GLOBAL DEFAULT    8 __sys_futimes
   309: 000b7fd0   218 FUNC    GLOBAL DEFAULT    8 snprintf
   310: 000d5980    64 OBJECT  GLOBAL DEFAULT   11 _res_opcodes
   311: 00026268     0 FUNC    GLOBAL DEFAULT    8 syscall
   312: 000456b0    93 FUNC    WEAK   DEFAULT    8 sem_timedwait
   313: 00020e60   171 FUNC    GLOBAL DEFAULT    8 sranddev
   314: 0004bd40    36 FUNC    GLOBAL DEFAULT    8 getfstab
   315: 000a5f50    71 FUNC    GLOBAL DEFAULT    8 __dn_skipname
